STATIONS_ID;MESS_DATUM;  QN;PP_10;TT_10;TM5_10;RF_10;TD_10;eor
       1424;202609140000;    3;   -999;  16.5;  16.0;  91.5;  15.1;eor
       1424;202609140010;    3;   -999;  16.6;  16.1;  91.3;  15.2;eor
       1424;202609140020;    3;   -999;  16.5;  15.9;  91.8;  15.2;eor
       1424;202609140030;    3;   -999;  16.5;  15.8;  91.4;  15.1;eor
       1424;202609140040;    3;   -999;  16.4;  15.8;  92.5;  15.2;eor
       1424;202609140050;    3;   -999;  16.3;  16.0;  94.9;  15.5;eor
       1424;202609140100;    3;   -999;  16.3;  15.9;  94.7;  15.5;eor
       1424;202609140110;    3;   -999;  16.3;  16.0;  95.3;  15.6;eor
       1424;202609140120;    3;   -999;  16.4;  16.1;  93.5;  15.4;eor
       1424;202609140130;    3;   -999;  16.4;  16.2;  94.0;  15.4;eor
       1424;202609140140;    3;   -999;  16.4;  16.2;  94.4;  15.5;eor
       1424;202609140150;    3;   -999;  16.9;  16.2;  88.0;  14.9;eor
       1424;202609140200;    3;   -999;  16.8;  16.2;  90.4;  15.2;eor
       1424;202609140210;    3;   -999;  16.6;  16.2;  93.2;  15.5;eor
       1424;202609140220;    3;   -999;  16.8;  16.2;  90.3;  15.2;eor
       1424;202609140230;    3;   -999;  16.8;  16.2;  89.9;  15.1;eor
       1424;202609140240;    3;   -999;  16.8;  15.9;  89.6;  15.1;eor
       1424;202609140250;    3;   -999;  16.6;  15.8;  90.9;  15.1;eor
       1424;202609140300;    3;   -999;  16.6;  15.8;  89.5;  14.9;eor
       1424;202609140310;    3;   -999;  16.6;  16.0;  89.7;  14.9;eor
       1424;202609140320;    3;   -999;  16.5;  16.1;  90.5;  14.9;eor
       1424;202609140330;    3;   -999;  16.5;  16.1;  91.2;  15.1;eor
       1424;202609140340;    3;   -999;  16.4;  16.1;  92.2;  15.1;eor
       1424;202609140350;    3;   -999;  16.4;  16.2;  92.3;  15.2;eor
       1424;202609140400;    3;   -999;  16.5;  16.2;  92.9;  15.4;eor
       1424;202609140410;    3;   -999;  16.4;  16.2;  92.3;  15.2;eor
       1424;202609140420;    3;   -999;  16.4;  16.2;  93.0;  15.3;eor
       1424;202609140430;    3;   -999;  16.5;  16.3;  94.1;  15.6;eor
       1424;202609140440;    3;   -999;  16.5;  16.3;  93.4;  15.4;eor
       1424;202609140450;    3;   -999;  16.5;  16.4;  93.2;  15.4;eor
       1424;202609140500;    3;   -999;  16.4;  16.4;  95.3;  15.7;eor
       1424;202609140510;    3;   -999;  16.4;  16.4;  94.6;  15.5;eor
       1424;202609140520;    3;   -999;  16.4;  16.5;  94.7;  15.6;eor
       1424;202609140530;    3;   -999;  16.4;  16.5;  94.8;  15.6;eor
       1424;202609140540;    3;   -999;  16.5;  16.5;  95.7;  15.8;eor
       1424;202609140550;    3;   -999;  16.6;  16.7;  96.2;  16.0;eor
       1424;202609140600;    3;   -999;  16.6;  16.7;  93.7;  15.6;eor
       1424;202609140610;    3;   -999;  16.7;  16.6;  94.0;  15.7;eor
       1424;202609140620;    3;   -999;  16.8;  16.8;  92.9;  15.6;eor
       1424;202609140630;    3;   -999;  16.7;  16.8;  93.8;  15.7;eor
       1424;202609140640;    3;   -999;  16.7;  16.9;  93.6;  15.7;eor
       1424;202609140650;    3;   -999;  16.7;  16.9;  93.4;  15.6;eor
       1424;202609140700;    3;   -999;  16.7;  16.8;  94.2;  15.8;eor
       1424;202609140710;    3;   -999;  16.7;  17.0;  94.5;  15.8;eor
       1424;202609140720;    3;   -999;  16.8;  17.2;  93.8;  15.8;eor
       1424;202609140730;    3;   -999;  17.0;  17.3;  92.9;  15.8;eor
       1424;202609140740;    3;   -999;  17.3;  18.1;  93.1;  16.2;eor
       1424;202609140750;    3;   -999;  17.5;  18.3;  92.1;  16.2;eor
       1424;202609140800;    3;   -999;  17.7;  18.8;  90.5;  16.1;eor
       1424;202609140810;    3;   -999;  18.6;  19.5;  87.7;  16.5;eor
       1424;202609140820;    3;   -999;  18.8;  19.8;  81.5;  15.6;eor
       1424;202609140830;    3;   -999;  19.2;  21.7;  79.1;  15.5;eor
       1424;202609140840;    3;   -999;  19.2;  20.9;  79.1;  15.5;eor
       1424;202609140850;    3;   -999;  19.8;  21.4;  76.8;  15.6;eor
       1424;202609140900;    3;   -999;  20.3;  21.7;  77.7;  16.3;eor
       1424;202609140910;    3;   -999;  20.6;  22.0;  78.2;  16.7;eor
       1424;202609140920;    3;   -999;  21.2;  24.0;  71.6;  15.9;eor
       1424;202609140930;    3;   -999;  21.4;  25.2;  73.5;  16.5;eor
       1424;202609140940;    3;   -999;  21.7;  27.7;  66.2;  15.1;eor
       1424;202609140950;    3;   -999;  21.6;  25.3;  65.8;  14.9;eor
       1424;202609141000;    3;   -999;  21.3;  24.4;  67.5;  15.0;eor
       1424;202609141010;    3;   -999;  21.4;  24.9;  67.7;  15.2;eor
       1424;202609141020;    3;   -999;  21.5;  24.0;  68.8;  15.5;eor
       1424;202609141030;    3;   -999;  21.7;  26.9;  67.2;  15.4;eor
       1424;202609141040;    3;   -999;  21.9;  25.8;  64.3;  14.9;eor
       1424;202609141050;    3;   -999;  22.1;  25.2;  64.1;  15.0;eor
       1424;202609141100;    3;   -999;  21.5;  23.1;  67.4;  15.2;eor
       1424;202609141110;    3;   -999;  21.6;  24.0;  68.0;  15.4;eor
       1424;202609141120;    3;   -999;  21.5;  23.6;  69.2;  15.6;eor
       1424;202609141130;    3;   -999;  22.0;  24.5;  68.0;  15.8;eor
       1424;202609141140;    3;   -999;  22.8;  27.1;  66.7;  16.3;eor
       1424;202609141150;    3;   -999;  22.9;  25.2;  66.5;  16.3;eor
       1424;202609141200;    2;   -999;  23.0;  27.5;  59.4;  14.7;eor
       1424;202609141210;    2;   -999;  22.9;  25.0;  63.0;  15.5;eor
       1424;202609141220;    2;   -999;  23.2;  27.6;  60.6;  15.2;eor
       1424;202609141230;    2;   -999;  23.4;  27.5;  59.5;  15.1;eor
       1424;202609141240;    2;   -999;  23.3;  26.9;  60.3;  15.2;eor
       1424;202609141250;    2;   -999;  23.2;  25.5;  58.8;  14.7;eor
       1424;202609141300;    2;   -999;  23.3;  26.0;  57.4;  14.4;eor
       1424;202609141310;    2;   -999;  24.2;  27.1;  59.5;  15.8;eor
       1424;202609141320;    2;   -999;  24.2;  28.5;  56.5;  15.0;eor
